PB.ID	sex	generation
PB357_02	M	16
PB357_07	NA	16
PB357_09	F	16
PB357_12	NA	16
PB357_16	M	16
PB357_18	M	16
PB357_19	M	16
PB357_20	M	16
PB357_21	M	16
PB357_22	M	16
PB357_28	M	16
PB357_29	M	16
PB358_01	M	16
PB358_04	M	16
PB358_05	F	16
PB358_07	F	16
PB358_08	F	16
PB358_12	F	16
PB358_13	F	16
PB358_18	F	16
PB358_19	F	16
PB358_25	F	16
PB358_28	F	16
PB358_29	F	16
PB358_32	F	16
PB358_33	M	16
PB358_34	F	16
PB358_39	F	16
PB358_42	F	16
PB358_43	F	16
PB358_50	F	16
PB358_57	F	16
PB359_03	F	16
PB359_06	NA	16
PB359_19	F	16
PB359_22	F	16
PB359_25	M	16
PB359_29	F	16
PB359_33	F	16
PB359_41	M	16
PB359_42	M	16
PB359_49	M	16
PB359_51	F	16
PB359_55	NA	16
PB359_56	F	16
PB359_57	F	16
PB359_64	F	16
PB359_65	F	16
PB359_66	F	16
PB359_67	F	16
PB359_70	M	16
PB359_73	M	16
PB359_83	M	16
PB359_84	M	16
PB359_86	M	16
PB359_87	M	16
PB359_88	F	16
PB359_90	M	16
PB360_02	F	16
PB360_07	M	16
PB360_08	F	16
PB360_09	F	16
PB360_13	M	16
PB360_15	M	16
PB360_18	M	16
PB360_21	NA	16
PB360_22	F	16
PB360_24	F	16
PB360_26	NA	16
PB360_32	M	16
PB360_36	F	16
PB360_41	M	16
PB360_42	M	16
PB360_45	NA	16
PB360_46	M	16
PB360_49	M	16
PB360_50	M	16
PB360_52	NA	16
PB360_53	M	16
PB360_57	F	16
PB360_59	M	16
PB360_70	F	16
PB360_75	M	16
PB360_76	M	16
PB360_83	F	16
PB360_86	M	16
PB360_88	M	16
PB360_93	F	16
PB360_94	M	16
PB361_01	M	16
PB361_02	F	16
PB361_11	M	16
PB361_15	M	16
PB361_21	M	16
PB361_23	F	16
PB361_24	F	16
PB361_25	F	16
PB361_28	M	16
PB361_37	M	16
PB361_39	NA	16
PB361_43	M	16
PB361_44	M	16
PB361_48	F	16
PB361_59	F	16
PB361_62	M	16
PB361_63	M	16
PB361_67	M	16
PB361_69	M	16
PB361_70	M	16
PB361_73	M	16
PB361_73	M	16
PB361_76	M	16
PB361_77	M	16
PB361_78	M	16
PB361_81	M	16
PB361_85	M	16
PB361_86	F	16
PB361_88	M	16
PB361_90	M	16
PB361_91	M	16
PB361_94	M	16
PB362_07	NA	16
PB362_09	M	16
PB362_11	M	16
PB362_13	M	16
PB362_40	M	16
PB362_45	M	16
PB362_56	M	16
PB362_57	F	16
PB362_65	M	16
PB362_73	M	16
PB363_02	M	16
PB363_07	F	16
PB363_08	NA	16
PB363_47	M	16
PB363_55	M	16
PB364_50	F	16
PB364_73	F	16
PB364_86	F	16
PB365_13	F	16
PB365_22	M	16
PB365_33	F	16
PB365_38	M	16
PB365_45	M	16
PB365_46	M	16
PB365_47	F	16
PB366_02	M	16
PB366_03	M	16
PB366_07	F	16
PB366_15	M	16
PB366_18	F	16
PB366_21	F	16
PB366_41	M	16
PB366_43	F	16
PB366_44	F	16
PB366_51	M	16
PB366_72	F	16
PB366_78	M	16
PB366_80	M	16
PB366_87	F	16
PB367_06	M	16
PB367_10	M	16
PB367_19	F	16
PB367_26	F	16
PB367_45	F	16
PB367_47	F	16
PB367_55	F	16
PB367_68	F	16
PB368_05	M	16
PB368_06	NA	16
PB368_12	F	16
PB368_15	M	16
PB368_19	F	16
PB368_24	F	16
PB368_41	F	16
PB368_63	F	16
PB368_79	F	16
PB369_08	F	16
PB369_16	F	16
PB369_18	F	16
PB369_29	F	16
PB369_32	F	16
PB369_36	F	16
PB367_45	F	16
PB369_07	NA	16
